#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ZN|G|-9.3332|149.666794|-555.0|SIO OBS ID G|2010-03-03T00:00:00|2011-01-27T23:59:59
YC|SBC1|5.28108|115.174759|30.0|UMS|2018-03-24T05:30:00|2020-01-16T02:45:00
S1|AUMHS|-35.3635|149.0888|615.0|Melrose High School|2012-04-11T00:00:00|2599-12-31T23:59:59
S1|AUJCS|-33.2047|138.6098|464.0|Jamestown Community School|2013-08-23T00:00:00|2599-12-31T23:59:59
YO|WAIT4|-39.409569|173.945587|175.0|WAIT4|2001-10-01T00:00:00|2002-02-01T07:00:00
AU|WRKA|-25.0375|128.296097|622.0|Warrakurna, Western Australia|2009-04-26T00:00:00|2599-12-31T23:59:59
Z6|OS09|-9.1522|110.0287|-3302.0|Station OS09, Indonesia|2004-05-02T00:00:00|2004-10-02T00:00:00
ZN|JONE|-10.0946|150.102402|16.0|Wamira, Papua New Guinea|2010-03-13T00:00:00|2011-12-31T23:59:59
XQ|4860|-38.800598|176.254395|731.5|4860B|2002-07-18T00:00:00|2002-11-02T00:00:00
IA|PPBI|-2.1616|106.1364|63.55|Station Pangkal Pinang, Bangka|2007-01-01T00:00:00|2599-12-31T23:59:59
MI|DPS|15.24082|145.78909|144.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
AU|RABL|-4.1912|152.163696|277.0|Rabaul, Papua New Guinea|2009-04-26T00:00:00|2599-12-31T23:59:59
XD|ECP|-10.227249|150.875366|97.0|East Cape, Main land PNG|1999-08-05T05:38:04|2000-12-31T23:59:59
YY|OBS10|17.561399|143.196396|-2418.0|LDEO OBS11|2003-06-23T00:00:00|2003-08-10T23:59:59
IA|DNP|-8.6774|115.2097|63.88|Station Denpasar, Indonesia|2006-01-01T00:00:00|2599-12-31T23:59:59
YW|MSWL1|-32.26486|150.90709|251.0|YW-MSWL1|2024-08-26T00:00:00|2025-12-31T23:59:59
MY|KSM|1.4733|110.308296|66.0|Kuching|2005-02-17T00:00:00|2599-12-31T23:59:59
YY|OBS49|17.959499|145.798996|-2287.0|LDEO OBS49|2003-06-22T00:00:00|2004-05-09T23:59:59
7E|KB10|-17.560699|124.829803|277.0|QUEENSLAND, AUSTRALIA|1998-05-26T03:28:54|1998-07-25T02:09:54
7B|SC06|-19.1437|128.117905|0.0|QUEENSLAND, AUSTRALIA|1994-06-01T00:14:08|1994-10-17T03:17:48
S1|AUKSC|-37.9684|145.1584|50.0|Keysborough Secondary College|2013-05-24T00:00:00|2599-12-31T23:59:59
IA|BNSI|-4.4006|120.1065|261.0|Station Bone, Sulawesi|2008-01-01T00:00:00|2599-12-31T23:59:59
YC|SBE1|6.20282|115.596382|8.0|Palau|2018-03-25T04:15:00|2020-01-19T02:15:00
ZN|GUMA|-9.2247|150.8703|19.0|Gumawana, Papua New Guinea|2010-03-14T00:00:00|2011-12-31T23:59:59
IA|MSSI|-2.5547|120.3241|116.0|Station Masamba, Sulawesi|2007-01-01T00:00:00|2008-12-22T00:00:00
7B|SC04|-16.605499|133.307495|0.0|QUEENSLAND, AUSTRALIA|1994-05-24T06:48:47|1994-08-29T10:48:40
1U|HIK|-37.079043|175.764505|116.0|Hikuai|2023-01-01T00:00:00|2025-12-31T23:59:59
ZB|PKNN|-1.5843|101.145302|925.0|Jorong Pekonina|2007-12-08T00:00:00|2008-10-19T23:00:00
